-0.842,-0.58834,-0.27399,-0.59415,0.44333,0.074226
-0.83356,-0.58245,-0.27129,-0.58833,0.43918,0.073906
-0.8252,-0.57663,-0.26861,-0.58256,0.4351,0.073605
-0.81693,-0.57086,-0.26596,-0.57685,0.43109,0.07332
-0.80874,-0.56515,-0.26334,-0.5712,0.42716,0.07305
-0.80064,-0.55949,-0.26073,-0.56561,0.42331,0.072793
-0.79262,-0.5539,-0.25816,-0.56007,0.41953,0.072547
-0.78467,-0.54836,-0.25561,-0.55459,0.41582,0.072311
-0.77681,-0.54287,-0.25308,-0.54916,0.41218,0.072083
-0.76903,-0.53744,-0.25058,-0.54378,0.40861,0.071862
-0.76132,-0.53206,-0.2481,-0.53846,0.40511,0.071647
-0.7537,-0.52674,-0.24565,-0.53318,0.40168,0.071437
-0.74615,-0.52147,-0.24322,-0.52796,0.39831,0.071231
-0.73867,-0.51626,-0.24081,-0.52278,0.39501,0.071027
-0.73127,-0.51109,-0.23843,-0.51766,0.39177,0.070825
-0.72395,-0.50598,-0.23607,-0.51258,0.3886,0.070623
-0.7167,-0.50092,-0.23373,-0.50755,0.38549,0.070422
-0.70952,-0.4959,-0.23142,-0.50256,0.38244,0.07022
-0.70241,-0.49094,-0.22913,-0.49762,0.37945,0.070017
-0.69538,-0.48603,-0.22686,-0.49273,0.37652,0.069812
-0.68842,-0.48117,-0.22461,-0.48788,0.37365,0.069604
-0.68152,-0.47636,-0.22239,-0.48308,0.37083,0.069394
-0.6747,-0.47159,-0.22019,-0.47832,0.36807,0.069179
-0.66794,-0.46687,-0.218,-0.4736,0.36537,0.068961
-0.66126,-0.4622,-0.21584,-0.46893,0.36272,0.068739
-0.65464,-0.45758,-0.2137,-0.4643,0.36012,0.068511
-0.64808,-0.453,-0.21159,-0.45971,0.35757,0.068279
-0.64159,-0.44847,-0.20949,-0.45516,0.35507,0.068041
-0.63517,-0.44398,-0.20741,-0.45065,0.35262,0.067798
-0.62881,-0.43954,-0.20535,-0.44619,0.35023,0.067549
-0.62252,-0.43514,-0.20332,-0.44176,0.34787,0.067293
-0.61629,-0.43079,-0.2013,-0.43738,0.34557,0.067032
-0.61012,-0.42648,-0.1993,-0.43303,0.34331,0.066764
-0.60401,-0.42221,-0.19733,-0.42873,0.34109,0.066489
-0.59797,-0.41799,-0.19537,-0.42446,0.33892,0.066208
-0.59198,-0.41381,-0.19343,-0.42023,0.33679,0.065919
-0.58606,-0.40967,-0.19151,-0.41604,0.3347,0.065624
-0.58019,-0.40557,-0.18961,-0.41189,0.33266,0.065322
-0.57438,-0.40151,-0.18773,-0.40777,0.33065,0.065013
-0.56864,-0.39749,-0.18586,-0.4037,0.32868,0.064697
-0.56295,-0.39352,-0.18402,-0.39966,0.32675,0.064375
-0.55731,-0.38958,-0.18219,-0.39565,0.32485,0.064045
-0.55173,-0.38568,-0.18038,-0.39169,0.323,0.063708
-0.54621,-0.38182,-0.17859,-0.38776,0.32117,0.063364
-0.54075,-0.378,-0.17681,-0.38386,0.31939,0.063013
-0.53534,-0.37422,-0.17506,-0.38,0.31763,0.062655
-0.52998,-0.37048,-0.17332,-0.37618,0.31591,0.062291
-0.52468,-0.36677,-0.1716,-0.37239,0.31422,0.06192
-0.51943,-0.3631,-0.16989,-0.36864,0.31256,0.061542
-0.51423,-0.35947,-0.1682,-0.36492,0.31093,0.061158
-0.50909,-0.35587,-0.16653,-0.36123,0.30934,0.060767
-0.50399,-0.35231,-0.16488,-0.35758,0.30777,0.06037
-0.49895,-0.34878,-0.16324,-0.35397,0.30623,0.059967
-0.49396,-0.34529,-0.16161,-0.35038,0.30471,0.059557
-0.48902,-0.34184,-0.16001,-0.34683,0.30323,0.059142
-0.48412,-0.33842,-0.15842,-0.34332,0.30177,0.058721
-0.47928,-0.33503,-0.15684,-0.33983,0.30033,0.058294
