0.62832,-0.8,0,-1.5,-2.2,0,0,0,0,0,0,0,0
0.62746,-0.8001,-0.0008017,-1.4887,-2.1865,0.0014418,-0.0090736,0.0033889,0.021639,-0.025993,0.0077625,-0.012116,0
0.62654,-0.80018,-0.0016592,-1.4776,-2.1731,0.0027594,-0.017885,0.0066545,0.045536,-0.053102,0.01676,-0.024327,0
0.62556,-0.80023,-0.0025703,-1.4665,-2.16,0.0039492,-0.02644,0.0098007,0.071672,-0.081206,0.027018,-0.036553,0
0.62453,-0.80024,-0.0035328,-1.4556,-2.1469,0.0050107,-0.034746,0.012831,0.10003,-0.11019,0.038557,-0.04872,0
0.62343,-0.80022,-0.0045445,-1.4447,-2.134,0.0059462,-0.042811,0.01575,0.13059,-0.13995,0.051396,-0.060759,0
0.62229,-0.80017,-0.0056033,-1.434,-2.1213,0.0067597,-0.050644,0.01856,0.16333,-0.17038,0.06555,-0.072604,0
0.62109,-0.80008,-0.0067073,-1.4233,-2.1087,0.0074571,-0.058255,0.021266,0.19822,-0.20138,0.081033,-0.084195,0
0.61984,-0.79994,-0.0078546,-1.4128,-2.0962,0.0080454,-0.065653,0.02387,0.23524,-0.23286,0.097856,-0.095474,0
0.61855,-0.79977,-0.0090431,-1.4024,-2.0839,0.0085322,-0.072848,0.026375,0.27438,-0.26473,0.11603,-0.10639,0
0.61721,-0.79956,-0.010271,-1.392,-2.0717,0.0089259,-0.079848,0.028786,0.31559,-0.29691,0.13556,-0.11688,0
0.61583,-0.7993,-0.011537,-1.3818,-2.0597,0.0092351,-0.086664,0.031104,0.35886,-0.32932,0.15645,-0.12691,0
0.61441,-0.799,-0.012839,-1.3716,-2.0478,0.0094681,-0.093305,0.033333,0.40415,-0.36188,0.1787,-0.13643,0
0.61295,-0.79865,-0.014175,-1.3616,-2.036,0.0096334,-0.099778,0.035476,0.45144,-0.39451,0.20233,-0.1454,0
0.61145,-0.79825,-0.015544,-1.3516,-2.0244,0.0097389,-0.10609,0.037534,0.50069,-0.42716,0.22732,-0.15378,0
0.60992,-0.79781,-0.016944,-1.3417,-2.0129,0.0097923,-0.11226,0.039512,0.55189,-0.45975,0.25368,-0.16153,0
0.60836,-0.79732,-0.018373,-1.3319,-2.0015,0.0098006,-0.11828,0.041412,0.60499,-0.49221,0.2814,-0.16862,0
0.60676,-0.79678,-0.019831,-1.3222,-1.9903,0.0097704,-0.12416,0.043235,0.65996,-0.52449,0.31048,-0.17501,0
